FEN,Evaluation
3rq1k1/p4p1p/b2P1Qp1/3BP3/1p4P1/1P2R1N1/P4K1P/8 b - - 0 36,4733
5k2/RK6/P7/r7/6P1/8/8/8 b - - 4 70,4734
8/8/2Q1B3/3pb3/8/2pkP1P1/q4PKP/R7 b - - 0 47,4735
6r1/1p3p2/2k1pB1P/2P1Pn1P/p1P5/P1KR4/8/8 w - - 3 47,4737
r1bq3Q/pppp1k1p/1b3n2/n2P2B1/2B5/5N2/PP3PPP/RN1QR1K1 b - - 0 14,4738
4k3/2P2p2/8/2QP4/1P2q3/7P/7K/8 b - - 0 48,4739
r1b1k2r/2p2ppp/2p2q2/p2p4/1b1P4/5N2/PP1B1PPP/RN1QK2R w KQkq - 0 12,474
2R2rk1/1P1Q2pp/n2N1q2/p3rp2/P3P3/6P1/4KP1P/2R5 b - - 2 36,4740
4k3/R7/6K1/4P2P/8/8/6r1/8 w - - 3 57,4742
3qn2k/r4p1n/b3pPp1/p2pP1NP/1ppP2P1/2P5/PPB4Q/R1B3K1 w - - 3 28,4743
r7/pp5p/2nrRpkB/n2q4/3P4/P4N2/3Q1PPP/4R1K1 w - - 3 24,4744
8/5kp1/2pqR2p/7P/PPQ2p2/2K5/6P1/8 b - - 0 39,4746
8/2R5/4k3/3q4/5Q2/3r2P1/5P2/6K1 w - - 8 55,4748
2n1r1k1/5pp1/R1N1pb2/2Bp3p/1P1Pn3/4P1P1/5P1P/5BK1 w - - 1 36,475
5k2/6p1/5pK1/4p3/6P1/5P2/6P1/8 b - - 0 48,4750
8/1k2K3/1PbP4/8/1B4p1/6P1/8/8 w - - 19 89,4752
5Bnk/1rp2Q1p/6p1/1p1pP1P1/7P/1P5q/P4P2/4RK2 w - - 3 37,4753
6k1/7r/pPP2P1p/P2p2p1/6N1/6n1/6P1/2R1K3 b - - 2 50,4754
8/8/5p2/5k2/7K/6P1/7P/8 b - - 1 53,4756
5rk1/r5p1/p5p1/1p1PP2p/1Q6/P3R2P/1BP2PP1/5RK1 b - - 1 30,4757
8/4kp2/6p1/3KP3/5PP1/8/8/8 w - - 1 43,4758
4k3/2K4p/8/1P6/4R3/7P/5P2/6r1 b - - 4 58,4759
3r3k/ppq4p/2p2n2/2P2r2/3Q1P2/2N5/PP4B1/4RRK1 w - - 1 26,476
6k1/8/8/7p/2N2K1P/2Q3P1/8/7q b - - 4 60,4760
8/8/3K3p/5p1P/2k5/5P2/8/8 b - - 3 47,4761
Q7/pppk4/2qpN2B/b2npP2/8/2PP4/P4PPP/RN3RK1 b - - 0 23,4762
6k1/2R3p1/7p/5PP1/5K1P/8/6b1/8 b - - 0 60,4763
8/8/2n2K2/2k1p3/8/8/2pQ1P2/8 b - - 1 52,4764
8/1R3pk1/5rp1/8/4KP2/1B6/5P2/8 w - - 1 66,4765
2k5/8/1P6/6p1/4Kp1p/8/5PP1/8 b - - 1 60,4766
r4r1k/2P3Rp/p2P2p1/2Q2pN1/qp3P2/5N2/PP4PP/6K1 b - - 0 28,4767
r4n1k/p4Bpp/1pqPP3/8/3Q1P2/B6P/P5P1/5RK1 b - - 1 32,4768
Q7/3kn1p1/N2p1p2/1pb1p3/4P3/P2P4/1PP2PPP/R1B1K2R b KQ - 0 22,4769
r1b1R3/ppp2ppk/2n4p/7n/2BP4/B1P2N2/P4PPP/6K1 w - - 1 19,477
r4qr1/1bp2kpQ/1p3p1P/p2P4/P1P5/8/2B2PP1/R3R1K1 b - - 2 29,4770
r7/PK6/8/5p2/4k1p1/1R6/5P2/8 b - - 3 54,4771
8/4k3/3n1R2/7p/7P/2K2P2/8/8 w - - 1 51,4772
8/6Pk/8/7N/5KP1/8/8/3n4 w - - 3 80,4773
5r1k/2R4P/2R2p2/1P6/8/8/4KPr1/8 b - - 6 62,4774
8/5k2/1R6/6K1/5PP1/8/7r/8 b - - 2 102,4775
r6k/2R5/7P/6PK/8/8/8/8 b - - 8 74,4776
8/8/4p3/5k2/8/4K1P1/5P2/8 b - - 3 59,4777
8/2k5/4p1p1/6P1/4KP2/8/8/8 w - - 0 50,4778
6k1/5R2/8/8/6PP/8/5R1K/4q3 b - - 0 57,4779
2r1kb2/1bq2p2/p4P2/2p1P2r/3p4/PR1B2Q1/1P1N4/1K3R2 b - - 0 30,478
6r1/1q3kpQ/1p1PpPn1/p1p1P3/1nP5/4BP2/6R1/R5K1 b - - 2 46,4780
3qr1k1/rp1b1pPn/2p1p2p/P1PpP3/3P2PP/1N1B2K1/3Q4/5R1R b - - 0 37,4781
5rk1/6pp/2P2p2/p2P4/2QN4/1P4P1/q4P1P/4R1K1 b - - 1 31,4782
8/8/8/6p1/1Pk3P1/3N3n/4K3/8 b - - 6 63,4783
8/3R4/6rk/6q1/8/7Q/5P2/5K2 b - - 5 41,4784
5r1k/7p/2qNQPpr/2pnP3/P7/1P3R1P/7K/5R2 b - - 2 40,4785
3R4/2PK4/7p/6pP/6k1/2r5/8/8 b - - 4 66,4786
8/3K4/5P2/7p/2R5/5r2/1k6/8 w - - 2 64,4787
8/8/5QP1/8/6q1/8/5P2/1k4K1 w - - 1 64,4788
3k3r/1q2rp1P/p3P1p1/3P1pQ1/P1p4R/1pP5/1P1R4/5K2 b - - 2 39,4789
8/3R4/3p1k1p/8/8/4N1P1/3r3P/7K b - - 4 59,479
8/2K5/2P1k1p1/5r2/3R1P2/8/8/8 b - - 0 62,4790
6k1/8/3K1Q2/3P2P1/8/8/8/1q6 w - - 7 82,4791
8/3n2p1/p1k4p/1P2PKpP/PP1B4/8/8/8 b - - 0 39,4792
8/8/p7/1pK5/5k2/P7/1P6/8 b - - 2 49,4793
8/8/1P6/8/4qpk1/2Q5/5P1K/8 b - - 12 58,4794
r7/4P3/6p1/3K1p2/5P2/4kP2/8/6R1 w - - 1 46,4795
8/6Rp/5P2/3k2P1/P2p3r/3K4/8/8 w - - 4 70,4796
6k1/b3r3/P6Q/3K3P/8/8/8/8 b - - 0 60,4797
8/Pkn5/8/5K2/P7/6P1/5B2/8 b - - 2 50,4798
b1r1qrk1/p2nbppp/1p2p3/1P1pP3/1P6/6P1/P2N1PBP/BQRR2K1 b - - 0 21,48
2r5/p3k1p1/7p/1p1PP1p1/2p1K1P1/8/PP5P/3R4 w - - 5 42,480
3r4/P1R5/1BK3k1/4p3/3n2P1/8/8/8 w - - 3 70,4800
5k2/5p2/3P4/3RK3/5P2/8/8/4r3 w - - 9 62,4801
8/8/pK6/Pp1k4/1P6/8/8/8 w - - 4 57,4802
8/1q4PK/5Q2/8/8/8/8/1k6 w - - 49 118,4803
r1r1k2Q/p4p2/1p2pB2/3PP1p1/4B3/P7/3q1PPP/3R2K1 b - - 2 30,4805
8/4k1pp/1p6/p1P2PPP/K2P4/8/8/8 b - - 0 45,4806
5b2/5N2/3k1pK1/5P2/4P3/8/8/8 b - - 15 62,4807
6k1/5R2/4r2P/6P1/3n2K1/5B2/8/8 w - - 3 73,4809
3r4/1pkn1pq1/1b1pb3/1Q2p2p/4P2N/2NP2B1/2P2PP1/5RK1 w - - 8 30,481
8/6rk/8/P1p2QpP/8/2q5/5P2/5RK1 b - - 3 48,4810
8/7P/5b2/4pN2/2k1P3/5K2/8/8 b - - 0 70,4811
8/7P/7n/Pk1p4/8/3K4/3B4/8 b - - 0 62,4812
1r2N2r/p1q3k1/2Bp2P1/2nPP1Qp/1P6/2K5/8/1R4R1 b - - 6 35,4813
8/8/6k1/5p2/3p1P1P/3Bp1K1/8/8 b - - 6 52,4814
2kB4/5K2/1p2P3/8/2P4p/8/8/8 b - - 0 63,4815
8/4R3/8/8/5k2/P2b4/5K2/8 w - - 3 54,4816
8/p2k2p1/3Pp2p/4P2P/3P4/4K3/P7/8 b - - 4 47,4817
r7/4P3/6R1/4Kp2/5P2/5k2/8/8 b - - 1 47,4818
8/1N6/b1P1k3/3pP3/5K2/8/8/8 b - - 2 90,4819
8/P1R3b1/7k/5Bpp/5p1P/r3p3/8/3N1KBb w - - 2 46,482
6k1/R7/P7/3pPp1p/r2P1K1P/8/8/8 b - - 1 46,4820
1b6/P7/1B6/8/2K1P1kp/8/8/8 b - - 0 54,4821
8/5k1P/5R1K/3p4/5P2/8/8/4r3 b - - 12 68,4822
8/8/3K4/1pQ5/k7/P7/1r6/8 w - - 1 68,4823
r1n2r2/1pq1pp2/p2p2k1/P1pP1NB1/R1P1P3/5QP1/1b3P1P/4RBK1 b - - 0 23,4824
8/p5p1/1p1kP2p/1Pp2P1P/2P1K3/8/P7/8 b - - 2 47,4825
3b1r2/pp1P1R1p/2k4q/1r1NPp2/Q7/8/PP3P1P/1K1R4 w - - 3 28,4826
8/4r3/8/8/8/2K1p1k1/P7/5Q2 w - - 1 77,4827
5rk1/3R1p2/1pP2bp1/pP5p/P7/1Qp1N1P1/5PKP/r7 w - - 6 35,4828
8/8/8/5k2/8/2K4P/8/4N3 b - - 0 72,4829
1r4k1/3bq1np/R1Np2p1/2pPrp2/4P3/5B1P/1P1Q1PP1/R5K1 b - - 1 27,483
5Bnk/1rp2Q1p/6p1/1p1pP1P1/7P/1P5q/P3KP2/4R3 b - - 4 37,4830
8/5Q2/6P1/1k6/8/4qP2/6K1/8 w - - 3 68,4831
8/1r6/4K2k/5NRp/7P/6P1/8/8 b - - 16 59,4832
r3k1r1/2bb1pB1/1pq2N2/2p1p3/2P4Q/Pp5P/4B1P1/3R1RK1 b - - 2 30,4833
4Rbk1/5p2/b2p2nP/2pP4/2P3P1/6BP/1qBQ2K1/8 w - - 1 36,4834
1k6/8/1K6/1PN1p3/4P1b1/8/8/8 w - - 21 94,4835
8/1P1n3k/2K1p3/8/3P4/8/1P6/8 b - - 2 55,4836
3r2r1/5Q2/3p4/p3P2p/qb1Pkp2/5N1P/1P3PPK/2R5 w - - 1 30,4837
8/4K2p/5p2/5k2/R3p2P/8/8/8 b - - 0 58,4838
6k1/8/6Q1/6P1/5P1K/7P/8/5q2 b - - 0 57,4839
b7/2p1k3/P3Np2/2KP2p1/7p/7P/5PP1/8 b - - 6 47,484
r3r3/1p1n1Nbk/p1qP2P1/2p1p1Pp/1n2Q3/2N1B2P/1P6/2R2RK1 b - - 0 30,4840
8/5k2/R7/6P1/5K2/8/2b5/8 b - - 4 72,4841
8/7R/4kb2/2P3p1/7p/8/P3K3/8 b - - 0 38,4842
5Bnk/1rp2Q1p/6p1/1p1pP1P1/6qP/1P6/P4P2/4R1K1 w - - 1 36,4843
8/8/pK4p1/P3k1P1/8/8/8/8 b - - 1 60,4844
r3r1k1/4P3/p2pR1p1/2p1n2p/1pq2P1B/5Q1P/1P3KP1/4R3 w - - 3 35,4845
6k1/2Q5/5r1p/5p2/5P1K/8/8/8 b - - 11 66,4846
8/5k2/K7/1P6/7P/6n1/P7/8 w - - 0 55,4847
8/2n1k3/5P1p/2pBP1p1/2P1K1P1/8/7P/8 b - - 0 52,4848
3rqrk1/p1pb1ppp/3P1B2/1p2p3/4P2Q/1B2N3/Pb3PPP/R2R2K1 b - - 0 19,4849
r4n2/1rp1k1q1/3p1p2/3PpPp1/4P1P1/1P5R/5NKR/3Q4 w - - 7 40,485
5r2/pp1P1R1p/3k3q/b1rNpp2/5P2/1Q6/PP3P1P/1K1R4 b - - 0 25,4850
8/3Qn2k/1p1qP2p/p3bp2/3p1P2/6PP/PP4B1/2R3K1 b - - 0 35,4851
3r2k1/p2P2pp/1p1P4/3q4/2R3Q1/6PP/P6K/4R3 b - - 0 36,4852
8/3knR2/1p1p4/1P6/4K3/2P5/8/8 b - - 6 48,4853
r2k4/P2n3p/2RP2p1/8/5P2/6PB/7P/6K1 w - - 1 46,4855
2rr2k1/P1Q4p/1P4p1/3b4/2p1N2q/3p4/6B1/R4RK1 w - - 1 38,4857
8/1rk3p1/Rp1b4/6Pn/2PP1n2/5Q2/1B5P/6K1 w - - 3 44,4858
r1r1k3/p4p2/1p2pB1Q/3PP1p1/4B3/P7/q4PPP/3R2K1 b - - 0 29,4859
b5k1/3nb1np/1Pp2pp1/4pP2/1P2P1P1/2NNB2P/5QB1/q5K1 w - - 1 30,486
3k4/5R2/3K3p/1p2P2r/1P6/8/8/8 b - - 1 63,4860
2k1rR2/pp4Q1/b2pp1p1/2q1n1B1/3NP3/7P/PPP3P1/3R2K1 b - - 2 30,4863
8/5k2/7p/5r1P/P7/8/4K3/3R4 w - - 2 62,4866
3r4/1k6/8/2p1K1P1/2P2R2/8/8/8 w - - 3 67,4867
k1Q2b1r/3n1p1p/p1p3p1/2Pq1b2/1P1N1B2/5P2/P3N1PP/R4RK1 b - - 4 23,4868
5b2/1K3k2/8/3Q4/2P5/rP6/8/8 b - - 2 63,4869
8/8/6pk/1p6/2p5/2P2P1n/1P6/4R1K1 w - - 0 43,487
8/6pk/Q1p2rb1/3P2p1/4P2p/8/PPB3P1/4R1K1 w - - 1 39,4871
rn1kb3/7p/pP1p1Qp1/2pP4/8/5P2/P3NKPP/1q3B1R b - - 0 22,4872
8/7p/8/Pk6/5p2/3K3P/8/8 w - - 4 49,4874
2r2b2/pp6/4kPQ1/3N4/4n3/4B3/PPq2PPP/R2R2K1 b - - 0 27,4877
k4r2/8/P2R4/KP6/8/8/8/8 b - - 4 51,4878
1rb1r1k1/4qp1p/p5p1/1npP4/4P3/2NB1Q1P/1P3PP1/R3R1K1 w - - 0 22,488
3Q4/2R2p1p/4bkp1/8/1PP1P3/6PP/4qPBK/8 b - - 4 39,4882
8/6K1/5PB1/8/6r1/N1p5/8/2k5 b - - 24 88,4884
1kr4r/p5QP/3P4/2p5/K1P5/1P6/P7/8 b - - 8 49,4889
4r1k1/1pp1q3/1n1p2p1/8/p1n1P3/P1B2P1P/1P5K/3RRQ2 w - - 0 34,489
8/2p2k2/1p4p1/p2P1PK1/P6P/2P5/1P6/8 b - - 0 38,4890
R3n1k1/3b4/3pP1p1/2pP4/2P2qP1/7R/4Q1K1/8 b - - 12 58,4891
4r1k1/pnp2bpn/1p5p/1P2P3/PqPP4/5Q1P/3N2P1/2R2RK1 w - - 1 25,4893
8/6pk/4R3/6PK/r6N/8/8/8 b - - 12 59,4895
r3k2r/1pp1qppp/p1n1pn2/8/1b1P2b1/1P2PN2/PB1NBPPP/R2Q1RK1 b kq - 4 10,49
5n2/2r2k1p/1Q1p2p1/1b6/1P3P2/2Br4/6PP/R5K1 b - - 2 35,490
8/4p1k1/3p1pP1/3P4/1q2P2P/nP2Q3/6RK/8 b - - 0 54,4900
4kn1Q/4p3/q2p2P1/2pP2P1/4P3/PrN2K2/1P5R/8 w - - 1 45,4901
8/8/2k4b/P1N5/1BK5/8/8/8 w - - 1 77,4903
r3bnkr/4qpb1/pp2p2R/3pP3/3B4/P1NBQ1R1/1PP3PP/6K1 w - - 1 32,4906
5rk1/qb4p1/3P1pP1/2p1r3/N1P1p2R/1P2b2Q/6PP/3RB2K b - - 4 46,4907
8/8/8/3k4/pp1P4/2PK4/1P6/8 b - - 0 49,4908
8/7R/8/8/1KP3p1/1P6/R5rp/7k w - - 4 60,4909
8/1p6/2n1Q3/p7/1kPrp3/1P5P/P5P1/7K w - - 2 39,491
8/8/8/8/7P/3K4/2Q2rP1/k7 b - - 6 66,4910
3rk3/2R4p/P2pPp1P/4p1p1/1p2P1P1/1P6/K7/8 b - - 0 38,4913
8/2N2k2/1P6/8/8/8/1K1R2p1/5qB1 w - - 5 81,4915
k1K5/b1B5/P7/3N4/8/8/8/8 w - - 29 92,4918
3r2rk/pp3p2/2p2Nq1/4Pbnp/3P4/6R1/PP1QN1P1/5RK1 w - - 0 28,492
1kr2q2/5pQP/P1Bp1P2/2pPp3/4P3/8/1P6/5K2 b - - 0 50,4920
5rk1/p2P1p1p/2P3p1/5Q2/5P2/2q1P2P/P2R1K2/3R4 b - - 0 36,4921
kbK5/8/P7/3N4/5B2/8/8/8 w - - 31 93,4923
1k4r1/4R3/8/1N6/PK6/8/8/8 w - - 3 94,4925
5rk1/4R3/2BP4/1P2P1p1/3p2K1/6P1/3b1r2/7R w - - 1 43,4926
8/2N2kp1/r1N1p1p1/2Bp2pP/5P2/5K2/8/8 w - - 0 46,4927
4r1k1/1pR1r2p/5pp1/pP6/4BP2/1P4PP/P1R4K/8 b - - 0 30,493
r4r1k/pbq4p/1p1pP1n1/1PpP2N1/2Bb1P2/2B4Q/RP5P/4R1K1 w - - 5 29,4931
k7/3K4/P7/2BN4/8/6b1/8/8 w - - 23 89,4932
r7/1p3k2/p2Prb1p/1qN1nQp1/1P3p2/P6P/5PPB/2R1R1K1 w - - 0 33,4933
4r3/pkn5/1P1Bp2p/1PprP1pq/2Q2p2/8/5PPP/R3R1K1 b - - 0 34,4934
4k3/8/5P2/3BB2p/7P/r7/4K3/8 b - - 0 63,4935
r1b2k2/1pq1r3/p2p2Q1/3P1p2/P3P3/2Np3R/1P4PP/R6K b - - 5 32,4937
2k5/6K1/7P/6Q1/1q6/8/8/8 b - - 2 74,4938
7b/1B3k2/1p3p2/3P1Np1/P5P1/1P6/6P1/6K1 b - - 0 35,4939
1r4k1/1q2ppbp/6p1/PNpP4/3nPP2/3Q3P/3B2PK/1R6 w - - 1 35,494
2q2k1r/R4p2/2PQ1p2/2p1pP2/4P2P/2p3P1/1r6/R4K2 b - - 0 37,4940
k7/8/P1K5/2BN4/8/6b1/8/8 b - - 20 87,4942
1r3q1k/1PQ5/3p2p1/P2Pp2p/4P3/2N3n1/2KB4/4R3 b - - 0 41,4945
4r1k1/1p4p1/p4bQ1/P1pP2BP/2P1p3/1P4P1/5RK1/3q4 b - - 8 37,4946
3n2R1/2pr3p/1p1p1qpk/3P1p2/1P3P2/6P1/5P1P/4RQK1 b - - 7 43,4949
8/5b2/3k3p/3p1P1P/1p1P4/5P2/1P3K2/3N4 w - - 1 54,495
1r3n1k/8/pp1p1q1b/P1pP1Q2/5P2/R1B4P/1P6/6RK b - - 0 40,4950
r2k3Q/ppp5/2qpN2B/b2npP2/8/2PP4/P4PPP/RN3RK1 b - - 4 22,4951
5br1/4k2B/4p2P/p2pP3/1p1q4/1Pr2R2/P1P4R/5Q1K w - - 1 37,4953
rr3k2/3np2p/q2pQ1p1/1Nbp1P2/P7/1p4P1/3B2KP/1R3R2 b - - 0 31,4954
3Rk3/5ppp/2P1p3/1P2P3/8/P7/5PPP/6K1 b - - 0 31,4957
1r4R1/3bk3/p2p1N2/1ppP1PQ1/4P3/4N3/1q6/5B1K b - - 0 40,4959
8/P4R1p/1R2p1p1/1K2k3/3r4/8/5PPP/2r5 b - - 2 34,496
Q4k2/2qPbp2/p3P1p1/6Pp/5P1P/8/5BK1/8 b - - 2 52,4961
k2rrb2/1q4p1/1PpPp2p/3n1pPP/Q1NB1P2/R7/PP6/1K3R2 b - - 0 36,4964
8/p4k1p/1q1P2p1/1P1Q1pP1/2P1p2P/6P1/6K1/8 b - - 2 38,4968
8/3k1PK1/p7/6B1/Pb6/8/8/8 b - - 12 92,4969
2b1r2k/3Nqpb1/2r5/p1p1p3/2P1P2P/1P4PB/P2R1Q2/3R3K w - - 4 36,497
3n1r1k/r4q2/5PRp/p2bP3/P7/3BQ2P/1PP1N2K/5R2 b - - 2 34,4970
1r3k2/1n3p1p/RP4p1/2P1P3/4B3/7P/5PP1/1R3K2 w - - 3 44,4971
r5k1/1p3p2/2pp1P1Q/4P3/pPP1P2p/6nb/P4qBK/3R2R1 b - - 3 35,4976
3qr1k1/5ppp/bn1P4/p1pP4/nrP2P2/6PP/2QN2B1/B3RRK1 w - - 1 27,498
8/3B4/5k2/5p2/2K2Bp1/6P1/1b6/8 w - - 18 55,499
rnbq1rk1/1p3pbp/p1p1pnp1/3p4/2PP4/2NBPN2/PPQ2PPP/R1BR2K1 b - - 1 9,5
3rr1k1/ppqn1ppb/2p2n1p/4P2P/8/1B3QN1/PPPB1PP1/3RR1K1 b - - 0 19,50
r1bq1rk1/pppp1ppp/5n2/8/2BQP3/8/PP3PPP/RNB1K2R w KQ - 1 9,500
rnb1Rnk1/1p6/p2P2p1/2pP1pqp/P7/2B5/1Q3RPP/3B2K1 w - - 6 33,5000
r1r2k2/2q1p1bQ/b2pPpp1/1nnP2B1/2p2P2/P1N2N2/1PB3PP/1R1R3K b - - 0 26,5002
8/1Q4p1/P4k2/1PP5/8/7P/r5PK/r7 w - - 1 51,5007
r1b4r/4k1pp/1q2p3/pBNpp2P/Pn6/5N2/1P1Q1PP1/2R2K1R w - - 0 22,5009
8/1b3p2/p2ppk2/1pr3p1/4Pr2/P1PBR1PP/1P6/4R1K1 b - - 0 44,501
r4q1k/1pp5/pbnp2Pp/3QpP1R/PP6/2PP4/5PK1/7R b - - 1 27,5016
b3q1rr/6kp/2p1p1p1/1pPpN1PP/pP1PpP2/P3P2R/5K1R/7Q b - - 12 34,5017
rq3k2/1pbr2p1/2pP1nBp/p1P1PN2/7P/PQB5/1P6/2KR2R1 b - - 0 29,5019
7k/5nb1/7p/8/3p1NQP/3NqPP1/6K1/8 w - - 1 44,502
k4r2/5pp1/p3pn1p/2N4P/Q1PPq3/4P3/PP4P1/2KR4 b - - 0 27,5020
3K4/6k1/3P4/5QP1/1q6/8/8/8 w - - 1 89,5022
r6k/1p1N1B1p/p7/q2PpP2/1RP5/7P/6Q1/6K1 b - - 0 41,5029
5k2/R4p2/1p4p1/pr3PPn/3pP3/8/2PK4/7R w - - 1 33,503
3r3r/1p2kpp1/2p1p3/q2PQ1pP/2P5/pP5R/P4PP1/2KR4 w - - 3 23,5030
rq2r3/5kn1/pp1Pb1nR/2p1ppB1/P1B1N1P1/8/1PQ4K/4R3 w - - 1 32,5032
3q4/1p3pk1/1Ppprp1p/4PQ2/3rP2B/5R2/2P3PP/5RK1 b - - 0 26,5037
5Q2/pppk4/3p2p1/2q1P3/P1B1P2p/2PP2nP/5RP1/R4K2 w - - 5 27,5039
3r2k1/1b2b2p/pq2r2p/5R2/PpB1p3/1P5Q/2PB2PP/7K w - - 0 28,504
R1bk4/1r2n3/1P4p1/1N1PP3/2N3P1/8/8/6K1 w - - 1 49,5045
4r1k1/1ppq1rp1/pn1p1PRQ/7P/3P4/2N2P2/PP3P2/2K3R1 b - - 0 23,5049
8/p2k3p/6p1/PP1K1p2/4p3/8/5PPP/8 w - - 4 40,505
2b5/2q1p1kp/p2p1Pp1/n1pP2N1/1rP2QP1/4R3/Pn1N1P1P/5BK1 b - - 0 27,5055
r3rnk1/1pq2p1P/2p1p3/4P1P1/p1P1Q3/2B5/PP6/2K3RR b - - 0 30,5056
r2k3r/pp1b1BBp/2q2p2/P1p5/8/1Q3N2/3R1PPP/4R1K1 w - - 1 24,5059
8/6k1/P5p1/q1K4p/5P2/3Q2P1/8/8 w - - 7 64,506
2r1r2k/1p1n3P/1q1P2pB/p1p1pp2/4N2Q/8/PP3P2/1K1R3R b - - 0 29,5065
3rrk2/p4pq1/1p6/4PPP1/2pb2BQ/3p4/PP1B2K1/7R w - - 1 41,5067
2r2qk1/2n3p1/p1N3p1/PpPpR1Q1/1P6/5P2/5P1P/4R1K1 b - - 0 32,5069
3r1r1k/1pQq2b1/3p3p/3Np3/4B3/1P3PP1/P4N1P/2R3K1 b - - 4 31,507
2kr3r/1b3ppp/pbq1p3/1P2QP2/1P3B2/P2p4/6PP/2R2R1K b - - 1 24,5070
6k1/2R4p/6p1/4p2r/2B3KP/4P3/8/8 b - - 6 44,5076
2kr2nr/1p2qp2/p2p2p1/2pPP1Pp/2Pb1Pb1/1P1B4/P2B4/1KQNR2R w - - 1 26,508
8/4k3/R7/5P2/6P1/p7/3p4/2bK4 b - - 0 71,5085
3r1rk1/6qp/p7/2pp1p2/1pp2BP1/8/PP5P/R2Q1R1K w - - 0 27,509
3q1rk1/pb3pp1/1p1P1b1p/n1r1N3/8/P2Q2B1/5PPP/1B1RR1K1 b - - 2 24,5095
r1bq1r2/pp3kbQ/3p4/2pPP3/2P3p1/2NBBnP1/PP6/2K2R1R b - - 0 20,5096
5r2/6k1/4K3/4Q3/8/8/8/8 b - - 28 73,5097
r1bq1rk1/pp3ppp/2n1p3/2Pp4/1b1PnB2/2N2N2/PP3PPP/2RQKB1R w K - 1 10,51
2bb1rk1/ppr2pp1/7p/3pN3/3Pq3/3Q2R1/PP3PP1/1B1R2K1 w - - 2 28,510
1k6/6R1/1P6/8/2N5/7p/4r3/6K1 b - - 0 76,5101
5q2/2pr2k1/1p1pp1R1/pP1Pp3/P1P3PP/3PP3/4KQ2/8 b - - 0 41,5108
r5k1/5pbp/3N2p1/N2P3P/1pp2P2/5Q1P/1P2r1BK/R1B1q3 w - - 1 31,511
Q2k4/5p2/p4Pp1/2PP2Pp/1qnpB3/7P/6K1/8 b - - 1 46,5111
1r1qr2k/pp3ppP/2np4/2pNpPR1/4P3/3P4/PPPQ3P/2K3R1 b - - 2 21,5115
1rB3k1/4b1pp/p7/q4p2/Npp2P2/1P2B3/P1P3PP/R2r1RK1 w - - 0 22,512
2qnk3/6B1/3p1P2/3Qb3/2p5/7P/6P1/1R5K w - - 9 57,5123
1q5r/1P2P3/6k1/8/NQBbppp1/P4P2/4K3/R6R b - - 2 38,5125
6k1/p2nq1bp/4p1p1/2p1Pr2/1pP1rP2/1P6/PB2Q1PP/R4RK1 w - - 0 24,513
5r2/6k1/pp1PQb1p/1q4p1/1P2Np2/P6P/5PPB/2R1R1K1 w - - 2 37,5130
2br2r1/2n2qbk/n3P2p/ppp2p1p/5P1N/2P4Q/PPB3P1/R1B1R1K1 b - - 0 27,514
7r/7P/2k3R1/4R3/4pr2/8/5P2/6K1 b - - 4 47,5144
6k1/1b1R4/2pB3P/2P4K/4r3/8/8/8 w - - 11 57,5146
R3rbk1/1PB1pp1p/1P2q1p1/3N4/2Qp2P1/5P1P/6K1/8 b - - 2 37,5148
3rq3/pBk3p1/3b1nPp/2P5/7P/1P6/PBP3Q1/2K2R2 b - - 0 27,515
2q1r1k1/p4p2/1n3PpR/4p1P1/p2pP1b1/3n1B2/1Pr1NK2/R1B4Q w - - 0 30,5154
5r1k/1pp3p1/3p1p1P/3PpB1R/p3n3/5RQK/Pr6/8 b - - 0 35,5158
8/4k3/n1R3K1/P1nP4/8/8/8/8 w - - 7 54,516
4r1k1/p4ppp/1p4rq/3P4/8/P4PP1/3NQ2P/2RR1K2 b - - 0 33,517
5rk1/7p/6p1/1p1Pn3/1PpQN2q/P4P2/3R2PP/7K w - - 2 35,518
Rr4k1/Rr4n1/3p2Pb/2pPPP1p/8/2B4B/1P6/6K1 b - - 2 44,5181
1r4k1/4pp1p/BN3np1/B2Pp3/8/5P1N/6PP/6K1 b - - 1 32,519
rnb2nk1/1p6/p2P2p1/2pP1pqp/P7/2B5/1Q3RPP/3BR1K1 w - - 2 31,5191
1kb2r2/2p2q2/1p1bp3/p2p2pp/3P4/P1P1RPN1/1PQ3PP/K3R3 b - - 1 47,52
r2q2k1/4p1bn/pp2p2p/3pBrp1/6Q1/2NB4/PPP2PPP/R3R1K1 b - - 0 19,520
8/2q3PK/8/k7/8/8/1Q6/8 w - - 37 105,5204
r3r3/pppbq1pk/5n1p/4Bp2/3P3P/2PBQP2/PP1R4/1K4R1 w - - 4 24,521
br4nk/2R2Np1/1p3p1p/pP2p3/P2PP3/4r3/6PP/1B3RK1 b - - 3 30,522
R2nkb2/1r3q2/3P1p2/4PNp1/Q1p1P3/7P/7P/2B3K1 b - - 2 43,5223
6k1/7p/1r2n1p1/3N2P1/2BP4/2P4P/5R1K/r7 b - - 1 41,523
5rk1/p6p/6p1/1p1Rp3/1P3q2/P6P/4Q1P1/5BK1 b - - 1 34,524
1r4k1/3R4/7p/p2P1pP1/4p3/1P4P1/1P3P2/2R3K1 b - - 0 37,5243
8/7k/4pN2/4B1KP/4P3/8/r7/8 b - - 14 56,5248
5r2/1P4k1/2K5/7p/1R5p/8/8/8 w - - 0 74,5249
